a art.一(个)；每一(个)
route	n.路线,路程,通道;v.发送
routine	n.例行公事,常规,日常事务,程序
royal	adj.王室的,皇家的,第一流的,高贵的
royalty	n.皇室,王权
rub	v.擦,摩擦;rt.(～along)和谐相处,(～off)擦掉,擦破,(～out)把(记号,笔记,笔迹等)擦掉
rude	adj.粗鲁的,无礼的,猛烈的,残暴的,粗鲁无礼的
rug	n.(小)地毯,垫子
ruin	v.(使)破产,(使)堕落,毁灭;n.毁灭,崩溃,废墟,遗迹
rumour	n.[亦作rumor]谣言,传闻;v.谣传
rupture	v.破裂,裂开,断绝(关系等),割裂;n.破裂,决裂,敌对,割裂
rural	adj.乡下的,田园的,乡村风味的,生活在农村的
rust	n.铁锈;vt.(使)生锈
sack	n.大袋,大袋之量,麻布袋,短而松的袍装,布袋装,洗劫;vt.解雇,装入袋,洗劫,就寝
sacred	adj.神的,宗教的,庄严的,神圣的
sacrifice	n.牺牲,献身,祭品,供奉;v.牺牲,献出,献祭,供奉
saddle	n.鞍,鞍状物;v.承受
safeguard	vt.维护,保护,捍卫;n.安全装置,安全措施
sailor	n.海员,水手,不大会晕船的人,船员
saint	n.圣人,道德崇高的人,圣徒;adj.神圣;v.成为圣徒
sake	n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒
salad	n.色拉
salary	n.薪水;vt.给...加薪
salesman	n.售货员,推销员
salute	n.(尤指军队等之)举手礼,升降旗致敬,呜礼炮等,敬礼;v.行礼致敬,敬礼
salvation	n.拯救,救助
sample	n.标本,样品,例子;vt.取样,采样,抽取...的样品,试验的一部分,尝试
sanction	n.&v.批准,同意,支持,制裁,认可
satellite	n.人造卫星
satisfactory	adj.满意的,赎罪的
saturate	v.使饱和,浸透,使充满
sauce	n.沙司,酱油,调味料;vt.调味,使增加趣味
saucer	n.茶托,碟子,茶碟
sausage	n.香肠,腊肠
savage	adj.野蛮的,未开化的,凶猛的,残忍的;vt.用暴力对付;n.原始的人,粗鲁的人
saving	n.存款,挽救,救助,节约;adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的;prep.除...之外,考虑到
scale	n.刻度,衡量,比例,数值范围,比例尺,天平,等级;vt.依比例决定,攀登,测量;vi.剥落,生水垢,重,攀登,衡量
scan	v.细看,审视,浏览,扫描;n.扫描
scandal	n.丑行,丑闻,诽谤,耻辱,流言蜚语
scar	n.伤痕,疤痕;v.结疤,使留下伤痕,创伤
scarce	adj.缺乏的,不足的,稀有的,不充足的
scarcely	adv.几乎不,简直没有
scare	v.惊吓,受惊,威吓;n.惊恐,恐慌,恐惧
scatter	v.分散,散开,撒开,驱散
scenery	n.风景,景色
scent	n.气味,香味,香水,线索,嗅觉,臭迹;vt.闻出,嗅,发觉,循着遗臭追踪,使充满气味;vi.嗅猎,发出气味
schedule	n.时间表,进度表;v.确定时间
scheme	n.安排,配置,计划,阴谋,方案,图解,摘要;v.计划,设计,图谋,策划
scholar	n.学者
scholarship	n.奖学金,学问,学识
scientific	adj.科学的
scissors	n.剪刀
scold	v.责骂,申斥,斥责
scope	n.(活动)范围,机会,余地
score	n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分
scorn	n.轻蔑,嘲笑,被叱责的人;vt.轻蔑,不屑做
scout	n.侦察,搜索,侦察员,侦察机;vi.守候,侦察,巡视,嘲笑;vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)
scramble	n.爬行,攀缘,抢夺,混乱;vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙;vt.攀登,搅乱,使混杂
scrap	n.小片,废料,剪下来的图片,文章,残余物,废料,打架;vt.扔弃,敲碎,拆毁;vi.互相殴打;adj.零碎的,废弃的
scrape	n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成
scratch	n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的
scream	v.尖声叫,尖声喊叫;n.尖叫声,喊叫声
screen	n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影
screw	n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧
script	n.手稿,手迹,剧本,考生的笔试卷,原本
scrub	v.洗擦,使(气)净化;n.洗擦,擦洗者,矮树,灌木,丛林地,矮小人(或动物);adj.次等的,矮小的,临时凑合的
scrutiny	n.详细审查
sculpture	n.雕刻,雕刻品,雕塑,雕塑品,[地理]刻蚀;v.雕刻,雕塑,刻蚀
seal	n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮
seam	n.接缝,线缝,缝合线,衔接口,伤疤,层;vt.缝合,接合,焊合,使留下伤痕;vi.裂开,发生裂痕
secondary	adj.次要的,二级的,中级的,第二的
section	n.部分,断片,部件,节,项,区,地域,截面
sector	n.部分,部门,[计]扇区,地区,象限,扇形;v.使分成部分,把...分成扇形
secure	adj.安全的,可靠的,放心的,无虑的;v.保护
security	n.安全
seemingly	adv.表面上地
segment	n.段,节,片断;v.分割
segregate	v.隔离
select	vt.选择,挑选;adj.精选的
selection	n.选择,挑选,选集,精选品
selfish	adj.自私的
semester	n.学期
semiconductor	n.[物]半导体
seminar	n.研究会,讨论发表会
senate	n.参议院,上院
senator	n.参议员,(大学的)评议员,(古罗马的)元老院议员
senior	adj.年长的,资格较老的,地位较高的,高级的
sensation	n.感觉,感情,感动,耸人听闻的
sensible	adj.有感觉的,明智的,有判断力的
sensitive	adj.敏感的,灵敏的,感光的
sentiment	n.情操,情感,情绪,观点,多愁善感,感情
sequence	n.次序,顺序,序列
sergeant	n.警官,军士
serial	adj.连续的
series	n.连续,系列,丛书,级数
session	n.会议,开庭
setback	n.顿挫,挫折,退步,逆流,(疾病的)复发
setting	n.安置,安装,(太阳)落山,(固定东西的)框架,底座
settle	n.有背的长凳;vt.安放,使定居,安排,解决,决定,整理,支付,使平静;vi.安家,定居,停留,下陷,沉淀,决定,澄清
settlement	n.沉降,解决,结算,殖民,殖民地
severe	adj.严厉的,严格的,剧烈的,严重的,严峻的
sew	v.缝制,缝纫,缝合
sexual	adj.性的,性别的,[生]有性的
shabby	adj.破旧的,褴褛的,低劣的,卑鄙的,不公平的
shaft	n.轴,杆状物
shallow	adj.浅的,浅薄的
shark	n.[鱼]鲨鱼,骗子<俚>内行,专家;v.敲诈
shatter	n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶
shave	v.剃,刮,削刮;vt.刨,削;n.刮脸
shed	vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下
sheer	adj.全然的,纯粹的,绝对的,彻底的,透明的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航
shell	n.贝壳,壳,外形,炮弹;vt.去壳,脱落,炮轰;vi.剥落,脱壳;[计]设定命令行解释器的位置
shelter	n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避
shepherd	n.牧羊人,牧羊狗;v.牧羊,看管,带领
shield	n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽
shift	n.移动,轮班,移位,变化,办法,手段;vt.替换,转移,改变,移转,推卸,变速;vi.转换,移动,转变,推托,变速
shipment	n.装船,出货
shiver	v.颤抖,打碎,碎裂;n.(无法控制的)颤抖,碎片
shortage	n.不足,缺乏
shortcoming	n.缺点,短处
shortly	adv.立刻,不久,简略地,简言之,即刻
shove	n.<口>推,挤;vt.<口>推挤,猛推,强使;vi.推
shrewd	adj.精明
shrink	v.收缩,(使)皱缩,缩短
shrub	n.灌木,灌木丛
shrug	n.关闭者,百叶窗,快门,<美俚>安眠药;vt.关上,装以遮门,以百叶窗遮闭
shutter	n.耸肩;v.耸肩
shuttle	n.往返汽车(列车、飞机),航天飞机,梭子,穿梭;v.穿梭往返
sideways	adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的
siege	n.包围,围城,长期努力,不断袭击,围攻;v.包围,围攻
sieve	n.筛,滤网,不会保密的人;v.筛,过滤
sigh	n.叹息,叹息声;vi.叹息,叹气
sightseeing	n.观光
signal	n.信号;adj.信号的;v.发信号,用信号通知
signature	n.签名,署名,信号
significance	n.意义,重要性
significant	adj.有意义的,重大的,重要的
signify	vt.表示,意味;vi.要紧,有重要性;v.颇为重要,表示
silicon	n.[化]硅,硅元素
similar	adj.相似的,类似的
similarly	adv.同样地,类似于
simplicity	n.简单,简易,朴素,直率
simplify	vt.单一化,简单化
simulate	vt.模拟,模仿,假装,冒充
simultaneous	adj.同时的,同时发生的
sin	n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数
sincere	adj.诚挚的,真实的,真诚的
single	adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打
singular	n.单数;adj.单一的,非凡的,异常的,持异议的
sip	v.吸吮
site	n.地点,场所,遗址;vt.定...的地点;n.站点
situated	adj.位于,被置于境遇,处于...的立场
skeleton	n.(动物之)骨架,骨骼,基干,纲要,万能钥匙
skeptical	adj.怀疑性的,好怀疑的,<口>无神论的
sketch	n.略图,草图,概略,梗概,草图,拟定;vi.绘略图,素描;v.勾画
skilled	adj.熟练的
skillful	adj.灵巧的,熟练的,制作精巧的
skim	v.撇去
skip	v.跳,蹦,急速改变,跳读,遗漏,跳跃;n.跳跃
skull	n.头脑,头骨
slack	n.松弛,静止,淡季,闲散;adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的;adv.马虎地,缓慢地;vt.使松弛,使缓慢,马虎从事;vi.松懈,减弱,松驰
slam	v.砰地关上,砰地放下,猛力抨击,冲击;n.砰,猛击,撞击,冲击
slap	vt.拍,掌击,拍击;n.拍,掌击,拍击
slash	v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打;n.猛砍,(大幅度)削减,斜线
slaughter	n.屠宰,残杀,屠杀;v.屠宰,残杀,屠杀
sleeve	n.袖子
slender	adj.苗条的,微薄的,微弱的
slice	n.薄片,切片,一份,部分,片段;v.切(片)
slick	adj.光滑的,熟练的,聪明的,华而不实的,陈腐的,平凡的;adv.灵活地,聪明地;vt.使光滑,使漂亮;n.平滑水面,平滑器,修光工具;vi.打扮整洁
slide	v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片
slight	adj.轻微的,微小的
slim	adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥
slip	n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行线路接口协议,是旧式的协议
slippery	adj.滑的,光滑的
slogan	n.口号,标语
slope	n.斜坡,斜面,倾斜;v.(使)顺斜
slot	n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹;vt.开槽于,跟踪
slum	n.贫民窟;vi.访问贫民区
slump	n.消沉,衰退,(物价)暴跌;v.失败,消沉,(物价)暴跌,跌落
smash	v.打碎,粉碎;n.打碎,粉碎;adj.出色的
smuggle	n.走私,偷带;v.走私
snack	n.小吃,快餐,一份;v.吃快餐(小吃)
snap	v.猛地吸住,突然折断,使劈啪地晌,猛咬;n.猛咬,突然折断,劈啪声;adj.突然的
snatch	v.攫取;n.攫取
sneak	vi.鬼鬼祟祟做事;vt.偷偷摸摸做,<口>偷窃;n.鬼鬼祟祟人,偷偷摸摸行为,<美口>帆布胶底运动鞋;adj.暗中进行的
sniff	v.用力吸,嗅,闻到,发觉,轻视,用力吸气;n.吸,闻,吸气声,嗤之以鼻
soak	adj.所谓的,号称的
soar	v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度
sober	adj.冷静的;v.镇定
so-called	v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度
social	adj.社会的,爱交际的,社交的,群居的
socialism	n.社会主义,社会主义运动
socialist	n.社会主义者,社会党党员
sociology	n.社会学
soda	n.苏打,碳酸水
software	n.软件
solar	adj.太阳的,日光的
sole	adj.单独的,唯一的;n.脚底,鞋底,基础;v.换鞋底
solemn	adj.庄严的,隆重的,严肃的
solicitor	n.律师,法律顾问
solidarity	n.团结
solitary	adj.孤独的
solo	n.独奏曲;adj.单独的
soluble	adj.可溶的,可溶解的
solution	n.解答,解决办法,溶解,溶液,解决方案
solve	vt.解决,解答
somehow	adv.不知何故
somewhat	adv.稍微,有点,有些
sophisticated	adj.诡辩的,久经世故的
sore	adj.疼痛的,痛心的,剧烈的;n.痛的地方,痛处
sorrow	n.悲哀,悲痛
sour	adj.酸的,发酵的,酸腐的,酸味的
source	n.来源,水源,消息来源,原始资料,发起者,源,源极
sovereign	n.君主,统治;adj.至高无上的,君主的,独立自主的,完全的
sow	n.大母猪;vt.播种,散布,使密布;vi.播种
spacecraft	n.太空船
spacious	adj.广大的,大规模的
spade	n.铲,铁锹;v.铲
span	n.跨度,跨距,范围;v.横越
spark	n.火花,火星,闪光,情郎,花花公子,活力,电信技师,瞬间放电;vi.闪烁,发火花,求婚;vt.发动,鼓舞,使有朝气,求婚
sparkle	v.发火花,(使)闪耀,(香槟酒等)发泡,用眼神表达,发光闪烁;n.火花,闪光,光彩,活力,发泡
specialist	n.专门医师,专家
specialize	vi.专攻,专门研究,使适应特殊目的,使专用于
specialty	n.专业
species	n.种类,(原)核素;n.[律]式样;n.[宗]圣餐物
specific	n.特效药,细节;adj.详细而精确的,明确的,特殊的,特效的,[生物]种的
specifically	adv.特定的,明确的
specification	n.详述,规格,说明书,规范
specify	vt.指定,详细说明,列入清单
specimen	n.范例,标本,样品,样本,待试验物
spectacle	n.观览物,展览物,公开展示,奇观,景象,光景,(apairof～s)眼镜
spectacular	adj.引人入胜的,壮观的
spectator	n.观众(指比赛或表演)
spectrum	n.光,光谱,型谱,频谱
speculate	vi.推测,思索,做投机买卖
spelling	n.拼法,拼写法
sphere	n.球,球体,范围,领域,方面,圈子,半球
spice	n.香料,调味品,趣味,意味,情趣
spider	n.蜘蛛,设圈套者,三脚架
spill	n.溢出,溅出,摔下,木片,小塞子,暴跌,溢出量;vt.使溢出,使散落,洒,使流出,使摔下,倒出;vi.溢出,涌流,充满
spin	v.旋转,纺,纺纱;n.旋转
spine	n.脊骨,书脊,地面隆起地带,中心,剌
spiral	adj.螺旋形的;n.螺旋;v.盘旋
spiritual	adj.精神上的
spit	n.唾液;v.吐(唾沫),吐出,发射,发出,喷吐
spite	n.(in～of)不顾,不管,敌意;v.困扰
splash	n.溅,飞溅,斑点;v.溅,泼,溅湿
splendid	adj.壮丽的,辉煌的,极好的
split	v.劈开,(使)裂开,分裂,分离;n.裂开,裂口,裂痕
spoil	vt.损坏,搞糟,宠坏,溺爱;v.扰乱
spokesman	n.发言人,代表者
sponge	n.海绵,(外科用的)棉球,纱布;v.用海绵冼涤,揩拭,清除,用海绵吸收(液体),(俗)依赖某人生活,诈取某人,海绵般吸收
sponsor	n.发起人,主办者,保证人,主办人;vt.发起,主办;v.赞助
spontaneous	adj.自发的,自然产生的
spot	n.班点,污点,地点,场所,现场;v.沾污,弄脏,侦察;vt.认出,发现
spouse	n.配偶(指夫或妻)
spray	n.喷雾,飞沫;vt.喷射,喷溅
sprinkle	v.撒(某物)于(某物之表面),洒,喷撒
spur	n.踢马剌,剌激物,(鸟,虫等的)距,刺激;v.鞭策,刺激,疾驰,驱策
spy	n.特工人员,间谍,侦探,探员,秘密侦察他人行动者;v.侦察,侦察,发现
squad	n.班
squeeze	n.压榨,挤;v.压榨,挤,挤榨
stab	n.刺,刺伤的伤口,一阵突然而强烈的感觉,中伤,伤痛;v.剌,刺伤,伤害(感情等)
stability	n.稳定性
stabilize	v.稳定
stable	adj.稳定的
stack	n.堆,一堆,堆栈;v.堆叠
stadium	n.露天大型运动场
staff	n.棒,杖,杆,支柱,全体职员,[军]参谋机构,[音]五线谱;vt.供给人员,充当职员
stagger	v.摇晃,蹒跚,交错,摇摇摆摆;adj.交错的
stain	n.污点,瑕疵;v.染污,沾污
staircase	n.楼梯
stake	n.树桩
stale	n.(牲畜等的)尿;adj.不新鲜的,陈腐的,疲倦的,陈旧的;vt.使变旧,走味;vi.变陈旧,变无味,失时效,撒尿
stalk	n.茎,柄,梗,秆
stall	n.货摊,畜栏,厩,出售摊;v.(使)停转,(使)停止,迟延
standpoint	n.立场,观点
staple	n.钉书钉,钉,主要产品(或商品),原材料,主要成分,来源;adj.主要的,常用的,大宗生产的;v.把...分类,把...分级
stare	v.(～at)凝视,盯着看
startle	v.震惊
starve	vt.使饿死;vi.饿得要死
statement	n.声明,陈述,综述
statesman	n.政治家
static	adj.静态的,静力的,静电噪声
stationary	固定的
statistic	n.统计量;adj.统计的,统计学的
statue	vt.以雕像装饰;n.雕像
status	n.身份,地位,情形,状况
steady	adj.稳固的,稳定的,坚定的,扎实的,坚定不移的;v.(使)稳定,(使)稳固
steamer	n.汽船,蒸汽机
steep	adj.陡峭的,险峻的,急剧升降的,不合理的;n.悬崖,峭壁,浸渍,浸渍液;v.浸,泡,沉浸
steer	v.驾驶,掌舵
stem	n.茎,干,词干,茎干;v.滋生,阻止
stereo	n.立体声系统,立体声,[印]铅版,立体照片;adj.立体的,立体感觉的
stereotype	n.[印]铅版,陈腔滥调,老套;vt.使用铅版,套用老套,使一成不变
stern	adj.严厉的,苛刻的;n.船尾
sticky	adj.粘的,粘性的
stiff	adj.硬的,僵直的,拘谨的,呆板的,艰难的,费劲的,僵硬的
stimulate	vt.刺激,激励;v.刺激,激励
stimulus	n.刺激物,促进因素,刺激,刺激
sting	n.刺,刺痛,针刺;v.刺,刺痛,刺激
stir	n.轰动,搅动,监牢;vt.动,移动,摇动,激起,搅和,惹起;vi.走动,传播,流行
stock	n.树干,库存,股票,股份,托盘,祖先,原料;adj.股票的,普通的,常备的,存货的,繁殖用的;vt.装把手于,进货,备有,放牧;vi.出新芽,采购
stocking	n.长袜
stoop	n.弯腰,屈背,屈服;vi.弯下,弯下上身,屈服,弯腰,堕落;vt.俯曲,辱没
storage	n.贮藏(量),贮藏库,存储
stove	n.炉
straightforward	adj.正直的,坦率的,简单的,易懂的,直接了当的;adv.坦率地
strain	n.过度的疲劳,紧张,张力,应变;vt.扭伤,损伤;v.拉紧,扯紧,(使)紧张,尽力
strand	n.绳、线之一股,线,绳,串,海滨,河岸;vi.搁浅;vt.使搁浅,使落后,使陷于困境,弄断,搓
strap	n.带,皮带;vt.用带缚住,用带捆扎
strategic	adj.战略的,战略上的
strategy	n.策略,军略
straw	n.稻草,麦杆
stray	v.迷路,偏离,漂泊,漂泊游荡;adj.迷路的,离群的,偶遇的
streak	v.飞跑,加上条纹
stream	n.溪,川,流,一股,一串,河流;v.流,涌,流注
streamline	adj.流线型的
strengthen	v.加强,巩固
stress	n.重压,逼迫,压力,重点,着重,强调,重音;vt.着重,强调,重读
stretch	v.伸展,伸长;n.一段时间,一段路程,伸展
stride	v.大步走(过),跨过,大步行走;n.步幅
striking	adj.打击的,显著的,惊人的,罢工的
string	n.线,细绳,一串,一行;v.排成一列
strip	vt.剥,剥去;n.条,带
stripe	n.斑纹,条纹
strive	v.努力,奋斗,力争,斗争
stroke	n.击,敲,报时的钟声,(网球等)一击,(划船等)一划,(绘画等)一笔,一次努力,打击;vt.抚摸
stroll	n.漫步,闲逛,四处流浪;v.闲逛,漫步,跋涉于
structure	n.结构,构造,建筑物;vt.建筑,构成,组织
stubborn	adj.顽固的,固执的,坚定的,坚决的,难应付的,难处理的
studio	n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场
stuff	n.原料,材料,素材资料;vt.塞满,填满,填充
stumble	v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇;n.绊倒,错误
stump	n.树桩,残余,烟头;v.掘去树桩,砍成树桩,绊倒,难住,截去
stun	vt.使晕倒,使惊吓,打晕;n.晕眩,打昏,惊倒
sturdy	adj.强健的,坚定的,毫不含糊的;n.[兽医]家畜晕倒病
subject	n.题目,主题,科目,学科,国民,[语法]主语;adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的;vt.使屈从于...,使隶属
subjective	adj.主观的,个人的
submarine	n.潜水艇,潜艇;adj.水下的,海底的
submerge	v.浸没,淹没,掩没;vi.潜水
submit	v.(使)服从,(使)顺从;vt.提交,递交
subordinate	adj.次要的,从属的,下级的;n.下属;v.服从
subscribe	v.捐款,订阅,签署(文件),赞成,预订
subsequent	adj.后来的,并发的
subsidiary	adj.辅助的,补充的
subsidy	n.补助金,津贴
substance	n.物质,实质,主旨
substantial	adj.坚固的,实质的,真实的,充实的
substitute	n.代用品,代替者,替代品;v.代替,替换,替代
subtle	adj.狡猾的,敏感的,微妙的,精细的,稀薄的
subtract	v.(～from)减去,减
suburb	n.市郊,郊区
subway	n.地道,<美>地铁
succession	n.连续,继承,继任,演替,[农业]轮栽,连续性
successive	adj.继承的,连续的
successor	n.继承者,接任者,后续的事物
suck	v.吸,吮,吸取
sue	vt.控告,向...请求,请愿;vi.提出诉讼,提出请求
suffer	vt.遭受,经历,忍受;vi.受痛苦,受损害
suffice	vi.足够,有能力;vt.使满足
sufficient	adj.充分的,足够的
suggestion	n.提议,意见,暗示,微量
suicide	n.自杀,自毁,给自己带来伤害或损失的行为
suite	n.(一批)随员,(一套)家具,套房,套,组,组曲
sulfur	n.[化]硫磺,硫黄;vt.用硫磺处理
sum	n.总数,和,金额,算术题
summarize	v.概述,总结,摘要而言
summary	n.摘要,概要
summit	n.顶点,最高阶层;adj.政府首脑的;vi.参加最高级会议的
summon	v.召集,召唤,号召,鼓起,振作
sunlight	n.日光,阳光,日照
sunrise	n.日出
sunset	n.日落,晚年
sunshine	n.阳光
superb	adj.庄重的,堂堂的,华丽的,极好的
superficial	adj.表面的,肤浅的,浅薄的
superintendent	n.主管,负责人,指挥者,管理者
superior	n.长者,高手,上级;adj.较高的,上级的,上好的,出众的,高傲的
superiority	n.优越,高傲
supersonic	adj.超音波的;n.超声波,超声频
supervise	v.监督,管理,指导
supplement	n.补遗,补充,附录,增刊;v.补充
supplementary	n.(supplementaries)增补者,增补物;adj.附助的
supply	n.补给,供给,供应品;vt.补给,供给,提供,补充,代理;vi.替代他人职务
support	vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受;n.支撑,支持,支援,维持,赡养,支持者,支柱
suppose	vt.推想,假设,猜想;vi.料想;conj.假使...结果会怎样
suppress	vt.镇压,抑制,查禁,使止住
supreme	adj.极度的,极大的,至高的,最高的
surge	n.巨涌,汹涌,澎湃;vi.汹涌,澎湃,振荡,滑脱,放松;vt.使汹涌奔腾,急放
surgeon	n.外科医生
surgery	n.外科,外科学,手术室,诊疗室
surpass	vt.超越,胜过
surplus	n.剩余,过剩,[会计]盈余;adj.过剩的,剩余的;vt.转让,卖掉
surrender	vt.交出,放弃,使投降,听任;vi.投降,自首;n.交出,放弃,投降;投降算了
surround	vt.包围,环境;v.围绕
surrounding	n.围绕物,环境;adj.周围的
survey	n.测量,调查,俯瞰,概观,纵览,视察;vt.调查(收入,民意等)测量,勘定,审视,视察,俯瞰,通盘考虑;vi.测量土地
survival	n.生存,幸存,残存,幸存者,残存物
survive	v.幸免于,幸存,生还
susceptible	adj.易受影响的,易感动的,容许...的;n.(因缺乏免疫力而)易得病的人
suspect	n.嫌疑犯;adj.令人怀疑的,不可信的,可疑的;v.怀疑,猜想,对...有所觉察
suspend	vt.吊,悬挂;v.延缓
suspension	n.吊,悬浮,悬浮液,暂停,中止,悬而未决,延迟
suspicion	n.猜疑,怀疑
suspicious	adj.(～of)可疑的,怀疑的
sustain	vt.支撑,撑住,维持,持续
swallow	n.[鸟]燕子,吞咽,喉;vt.咽,淹没,吞没,取消,忍受,轻信,压制,耗尽;vi.吞下,咽下
swamp	n.沼泽,湿地,煤层聚水;v.陷入沼泽,淹没,覆没
swap	v.交换;n.交换
sway	v.摇摆,摇动
swear	vi.诅咒;v.宣誓,发誓
swell	v.(使)膨胀,增大
swift	n.[鸟]雨燕,(梳棉机等的)大滚筒;adj.迅速的,快的,敏捷的,立刻的;adv.迅速地,敏捷地
swing	v.摇摆,摆动,回转,旋转;n.秋千,摇摆,摆动
switch	n.开关,电闸,转换;vt.转换,转变
sword	n.剑
symbol	n.符号,记号,象征
symmetry	n.对称,匀称
sympathetic	adj.有同情心的,合意的,赞成的;n.[解]交感神经,容易感受的人
sympathize	vi.同情,共鸣,同感,同意,吊唁
sympathy	n.同情,同情心
symphony	n.交响乐,交响曲
symposium	n.讨论会,座谈会
symptom	n.[医][植]症状,征兆
syndrome	n.综合病症
synthesis	n.综合,合成
synthetic	adj.合成的,人造的,综合的
system	n.系统,体系,制度,体制,秩序,规律,方法
systematic(al)	adj.组织性的,系统的
tack	n.大头钉,粗缝,行动方针,食物;vt.以大头针钉住,附加;vi.抢风航行,作文字形移动
tackle	n.工具,复滑车,滑车,辘轱,用具,装备,扭倒;vt.固定,应付(难事等),处理,解决,抓住;vi.捉住,扭住,扭倒
tag	n.标签,鞋带、绳子等末端的金属物,垂下物,附属物,名称,标记符,陈词滥调,结束语;vt.加标签于,紧随,添饰,起浑名,连接;vi.紧随
talent	n.天才,才干,才能
tame	adj.(动物)驯服的,柔顺的,(人)没精打彩的,顺从的,被开垦的,沉闷的,乏味的,平淡的;vt.驯养,驯服,制服,使变得平淡;vi.变得驯服
tan	n.日晒后的颜色,棕褐色,茶色;adj.棕褐色的,茶色;v.晒黑,晒成褐色
tangle	n.混乱状态;v.处于混乱状态
tanker	n.油轮
target	n.目标,对象,靶子
tariff	n.关税,关税表,税则,(旅馆,饭店等的)价目表、价格表;vt.课以关税
tax	n.税,税款,税金;vt.对...征税,使负重担,指控,责备
tease	n.揶揄,戏弄,逗惹;vt.取笑,逗恼,奚落,欺负,嘲弄,取笑,强求,梳理
technician	n.技术员,技师
technique	n.技术,技巧,方法,表演法,手法
technology	n.工艺,科技,技术
tedious	adj.单调乏味的,沉闷的,冗长乏味的
teenager	n.十几岁的青少年
telecommuications	n.电讯,长途通讯,无线电通讯,电信学
telecommunication	n.电讯,长途通讯,无线电通讯,电信学
telescope	n.望远镜;v.压缩
temper	n.(钢等)韧度,回火,性情,脾气,情绪,心情,调剂,趋向;v.(冶金)回火、锻炼,调和,调节
temperament	n.气质,性情,易激动,急躁
temple	n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角
tempo	n.(音乐)速度、拍子,发展速度
temporary	adj.暂时的,临时的,临时性
tempt	vt.诱惑,引诱,吸引,使感兴趣,考验,试探
temptation	n.诱惑,诱惑物
tenant	n.承租人,房客,租客;v.出租
tend	vi.趋向,往往是;vt.照管,护理
tendency	n.趋向,倾向
tender	adj.嫩的,温柔的,软弱的
tense	adj.紧张的,拉紧的;v.(使)紧张,(使)拉紧;n.[语法]时态
tension	n.紧张(状态),不安,拉紧,压力,张力,牵力,电压;vt.拉紧,使紧张
tentative	n.试验,假设;adj.试验性的,试探的,尝试的,暂定的
terminal	n.终点站,终端,接线端;adj.末期,每期的,每学期的
terminate	v.停止,结束,终止
terrace	n.梯田的一层,梯田,房屋之平顶,露台,阳台,倾斜的平地;adj.(女服)叠层式的;vt.使成梯形地,使有平台屋顶
terrain	n.地形
terrific	adj.令人恐怖的
terrify	vt.使恐怖,恐吓
territory	n.领土,版图,地域
terror	n.恐怖,可怕的人,恐怖时期,恐怖行动
testify	v.证明,证实,作证
